YouRock-20110505-wyc/wav/ru_0088,привычной хваткой расстегнул кобуру sil вытащил револьвер sil эй sil закричал он sil кто там у аппарат sil так вашу эдак sil,sil P R0 I V Y0 TSH0 N A J0 KH V A0 T K A J0 R A S0l T0 I G N U0 L K A B U R U0 sil V Y0 T A SH0 I L R0 I V A L0 V0 E0 R sil E0 J0 sil Z A K R0 I TSH0 A0 L O0 N sil K T O0 T A0 M U A Pl A R A0 T sil T A0 K V A0 SH U E0 D A K sil
YuriiP-20130731-okf/wav/ru_0018,учился на медные деньги sil с двенадцати лет сам их зарабатываю sil,sil U TSH0 I0 L S0 A N A M0 E0 D N Y J0 I D0 E0 N0 G0 I sil Z D V0 I N A0 TS A T0 I L0 E0 T S A0 M Y0 GH Z A R A B A0 T Y V A J0 U sil
YuriiP-20130731-okf/wav/ru_0022,над этой машиной sil он ткнул трубкой в сторону лесов sil работаю давно sil,sil N A D E0 T A J0 M A SH Y0 N A J0 sil O0 N T K N U0 L T R U0 P K A J0 F S T O0 R A N U L0 I S O0 F sil R A B O0 T A J0 U D A V N O0 sil
YuriiP-20130731-okf/wav/ru_0024,в междузвёздном пространстве носятся осколки планет sil нерождённых sil или погибших миров sil,sil V M0 I ZH D U Z V0 O0 Z N A M P R A S T R A0 N S T V0 I N O0 S0 I TS Al S K O0 L K0 I P L A N0 E0 T sil N0 I R A ZH D0 O0 Nl Y KH sil I L0 I P A G0 I0 P SH Y KH M0 I R O0 F sil
YuriiP-20130731-okf/wav/ru_0025,между зубами у них была трава sil они паслись там sil где теперь льды sil,sil M0 E0 ZH D U Z U B A0 M0 I U N0 I0 GH B Y L A0 T R A V A0 sil A N0 I0 P A S L0 I0 S0 T A0 M sil G D0 E0 T0 I P0 E0 R0 L0 D Y0 sil
YuriiP-20130731-okf/wav/ru_0027,мы втянули его и он упал sil разбил земную кору sil отклонил полюсы sil,sil M Y0 F T0 I N U0 L0 I J0 I V O0 I O0 N U P A0 L sil R A Z B0 I0 L Z0 I M N U0 J0 U K A R U0 sil A T K L A N0 I0 L P O0 L0 U S Y sil
YuriiP-20130731-okf/wav/ru_0030,быть может sil от этого именно удара sil погиб материк sil лежавший на запад sil от африки sil в атлантическом океане sil,sil B Y0 T0 M O0 ZH Y T sil A T E0 T A V A I M0 I Nl O0 U D A0 R A sil P A G0 I0 P M A T0 I R0 I0 K sil L0 I ZH A0 F SH Y J0 N A Z A0 P A T sil A T A0 F R0 I K0 I sil V A T L A N0 T0 I0 TSH0 I S K A M A K0 I A0 N0 I sil
YuriiP-20130731-okf/wav/ru_0031,поэтому sil я кладу на весь перелёт в безвоздушном пространстве sil шесть семь часов sil,sil P A E0 T A M U sil J0 A0 K L A D U0 N A V0 E0 S0 P0 I R0 I L0 O0 T V B0 I Z V A Z D U0 SH N A M P R A S T R A0 N S T V0 I sil SH E0 S0 T0 S0 E0 M0 TSH0 I S O0 F sil
YuriiP-20130731-okf/wav/ru_0032,через несколько лет путешествие на марс будет не более сложно sil чем перелёт sil из москвы в берлин sil,sil TSH0 I R0 I Z0 N0 E0 S K A L0 K A L0 E0 T P U T0 I SH E0 S T V0 I J0 I N A M A0 R Z B U0 D0 I T N0 I B O0 L0 I J0 I S L O0 ZH N A sil TSH0 E0 M P0 I R0 I L0 O0 T sil I Z M A S K V Y0 V B0 I R L0 I0 N sil
YuriiP-20130731-okf/wav/ru_0033,на глаз sil скайльс определил sil что яйцеобразный аппарат был не менее восьми с половиной метров высоты sil и шести метров sil в поперечнике sil,sil N A G L A0 S sil S K A0 J0 L0 S A P R0 I D0 I L0 I0 L sil SH T O0 J0 I J0 TS Y A B R A0 Z N Y J0 A Pl A R A0 D B Y0 L N0 I M0 E0 N0 I J0 I V A S0 M0 I0 S P A L A V0 I0 N A J0 M0 E0 T R A F V Y S A T Y0 sil I SH Y S0 T0 I0 M0 E0 T R A F sil F P A P0 I R0 E0 TSH0 N0 I K0 I sil
YuriiP-20130731-okf/wav/ru_0034,его окружала двойная sil массивной стали sil круглая спираль sil свёрнутая в противоположные стороны sil буфер sil,sil J0 I V O0 A K R U ZH A0 L A D V A J0 N A0 J0 A sil M A S0l I0 V N A J0 S T A0 L0 I sil K R U0 G L A J0 A S P0 I R A0 L0 sil S V0 O0 R N U T A J0 A F P R A T0 I V A P A L O0 ZH N Y J0 I S T O0 R A N Y sil B U0 F0 I R sil
_panic_-20110505-gqz/wav/ru_0069,в молчании теперь тысячи людей глядели на квадратные sil освещённые окна сарая sil,sil V M A L TSH0 A0 N0 Il T0 I P0 E0 R0 T Y0 S0 I TSH0 I L0 U D0 E0 J0 G L0 I D0 E0 L0 I N A K V A D R A0 T N Y J0 I sil A S V0 I SH0 O0 Nl Y J0 I O0 K N A S A R A0 J0 A sil
_panic_-20110505-gqz/wav/ru_0070,электричество было потушено sil и бледный свет проникал сквозь стёкла глазков sil,sil Y L0 I K T R0 I0 TSH0 I S T V A B Y0 L A P A T U0 SH Y N A sil I B L0 E0 D N Y J0 S V0 E0 T P R A N0 I K A0 L S K V O0 S0l T0 O0 K L A G L A S K O0 F sil
_panic_-20110505-gqz/wav/ru_0071,лось чувствовал sil сердце бьётся чаще sil чаще sil уже не бьётся sil трепещет мучительно sil,sil L O0 S0 TSH0 U0 F S T V A V A L sil S0 E0 R TS Y B0 J0 O0 TS A TSH0 A0 SH0 I sil TSH0 A0 SH0 I sil U0 ZH Y N0 I B0 J0 O0 TS A sil T R0 I P0 E0 SH0 I T M U TSH0 I0 T0 I L0 N A sil
_panic_-20110505-gqz/wav/ru_0073,в один sil из глазков sil входил прямой sil ослепительный луч солнца sil,sil V A D0 I0 N sil I Z G L A S K O0 F sil F KH A D0 I0 L P R0 I M O0 J0 sil A S L0 I P0 I0 T0 I L0 N Y J0 L U0 TSH0 S O0 N TS A sil
_panic_-20110505-gqz/wav/ru_0074,лось с трудом оторвался от этого зрелища sil живоносного огня вселенной sil,sil L O0 Sl T R U D O0 M A T A R V A0 L S0 Al T E0 T A V A Z R0 E0 L0 I SH0 A sil ZH Y V A N O0 S N A V Al G N0 A0 F S0 I L0 E0 Nl A J0 sil
_panic_-20110505-gqz/wav/ru_0075,теперь уже ясно можно было видеть резкие длинные тени от скал sil они тянулись через оголённую ледяную равнину sil,sil T0 I P0 E0 R0 U0 ZH Y J0 A0 S N A M O0 ZH N A B Y0 L A V0 I0 D0 I T0 R0 E0 S K0 I J0 I D L0 I0 Nl Y J0 I T0 E0 N0 I A TS K A0 L sil A N0 I0 T0 I N U0 L0 I S0 TSH0 I R0 I Z A G A L0 O0 Nl U J0 U L0 I D0 I N U0 J0 U R A V N0 I0 N U sil
_panic_-20110505-gqz/wav/ru_0076,несколько линий sil точек и полукружий разбросано к западу и востоку от этой sil экваториальной группы sil,sil N0 E0 S K A L0 K A L0 I0 N0 I J0 sil T O0 TSH0 I K Y P A L U K R U0 ZH Y J0 R A Z B R O0 S A N A G Z A0 P A D U I V A S T O0 K U A T E0 T A J0 sil Y K V A T A R0 I A0 L0 N A J0 G R U0 Pl Y sil
_panic_-20110505-gqz/wav/ru_0077,лось жадно вглядывался в эту сеть линий sil вот они sil сводящие с ума астрономов sil постоянно меняющиеся sil геометрически правильные sil непостигаемые каналы марса sil,sil L O0 Z0 ZH A0 D N A V G L0 A0 D Y V A L S0 A V E0 T U S0 E0 T0 L0 I0 N0 I J0 sil V O0 T A N0 I0 sil S V A D0 A0 SH0 I J0 I S U M Al S T R A N O0 M A F sil P A S T A J0 A0 Nl A M0 I N0 A0 J0 U SH0 I J0 I S0 A sil G0 I A M0 I T R0 I0 TSH0 I S K0 I P R A0 V0 I L0 N Y J0 I sil N0 I P A S0 T0 I G A0 J0 I M Y J0 I K A N A0 L Y M A0 R S A sil
_panic_-20110505-gqz/wav/ru_0078,лось кинулся к реостатам sil попали алексей иванович sil притягиваемся sil падаем sil,sil L O0 S0 K0 I0 N U L S0 A K R0 I A S T A0 T A M sil P A P A0 L0 I A L0 I K S0 E0 J0 I V A0 N A V0 I TSH0 sil P R0 I T0 A0 G0 I V A J0 I M S0 A sil P A0 D A J0 I M sil
_panic_-20110505-gqz/wav/ru_0079,казалось sil из чёрной бездны он сам теперь летел на них sil,sil K A Z A0 L A S0 sil I S TSH0 O0 R N A J0 B0 E0 Z N Y O0 N S A0 M T0 I P0 E0 R0 L0 I T0 E0 L N A N0 I0 KH sil
_panic_-20110505-quq/wav/ru_0034,его окружала двойная sil массивной стали sil круглая спираль sil свёрнутая в противоположные стороны sil буфер sil,sil J0 I V O0 A K R U ZH A0 L A D V A J0 N A0 J0 A sil M A S0l I0 V N A J0 S T A0 L0 I sil K R U0 G L A J0 A S P0 I R A0 L0 sil S V0 O0 R N U T A J0 A F P R A T0 I V A P A L O0 ZH N Y J0 I S T O0 R A N Y sil B U0 F0 I R sil
_panic_-20110505-quq/wav/ru_0035,аппарат был построен из мягкой и тугоплавкой стали sil внутри хорошо укреплён рёбрами sil и лёгкими фермами sil,sil A Pl A R A0 D B Y0 L P A S T R O0 J0 I N Y Z M0 A0 KH K A J0 I T U G A P L A0 F K A J0 S T A0 L0 I sil V N U T R0 I0 KH A R A SH O0 U K R0 I P L0 O0 N R0 O0 B R A M0 I sil I L0 O0 KH K0 I M0 I F0 E0 R M A M0 I sil
_panic_-20110505-quq/wav/ru_0036,внутри этого sil второго sil кожаного sil стёганого яйца sil находились sil аппараты наблюдения и движения sil кислородные баки sil ящики для поглощения углекислоты sil полые подушки для инструментов sil и провизии sil,sil V N U T R0 I0 E0 T A V A sil F T A R O0 V A sil K O0 ZH A N A V A sil S0 T0 O0 G A N A V A J0 I J0 TS A0 sil N A KH A D0 I0 L0 I S0 sil A Pl A R A0 T Y N A B L0 U D0 E0 N0 I J0 A I D V0 I ZH E0 N0 I J0 A sil K0 I S L A R O0 D N Y J0 I B A0 K0 I sil J0 A0 SH0 I K0 I D L0 I P A G L A SH0 E0 N0 I J0 A U G L0 I K0 I S L A T Y0 sil P O0 L Y J0 I P A D U0 SH K0 I D L0 Il N S T R U M0 E0 N T A F sil I P R A V0 I0 Z0 Il sil
_panic_-20110505-quq/wav/ru_0037,таков в общих чертах sil был принцип движущего механизма sil это была ракета sil,sil T A K O0 F V O0 P SH0 I KH TSH0 I R T A0 KH sil B Y0 L P R0 I0 N TS Y B D V0 I0 ZH U SH0 I V A M0 I KH A N0 I0 Z M A sil E0 T A B Y L A0 R A K0 E0 T A sil
_panic_-20110505-quq/wav/ru_0038,аванс sil шесть фельетонов sil по двести строк sil чек можете учесть в стокгольме sil,sil A V A0 N S sil SH E0 S0 T0 F0 I L0 J0 I T O0 N A F sil P A D V0 E0 S0 T0 I S T R O0 K sil TSH0 E0 K M O0 ZH Y T0 I U TSH0 E0 S0 T0 F S T A Gl O0 L0 M0 I sil
_panic_-20110505-quq/wav/ru_0039,что у этой барышни было в голове sil не пойму до сих пор sil,sil SH T O0 U E0 T A J0 B A0 R Y SH N0 I B Y0 L A V G A L A V0 E0 sil N0 I P A J0 M U0 D A S0 I0 KH P O0 R sil
_panic_-20110505-quq/wav/ru_0040,лицо его в эту минуту казалось утомлённым sil лоб сморщился sil,sil L0 I TS O0 J0 I V O0 V E0 T U M0 I N U0 T U K A Z A0 L A S0 U T A M L0 O0 Nl Y M sil L O0 P S M O0 R SH0 I L S0 A sil
_panic_-20110505-quq/wav/ru_0041,через тысячу лет мой окоченелый труп влетит в её огненные океаны sil,sil TSH0 I R0 I S T Y0 S0 I TSH0 U L0 E0 T M O0 J0 A K A TSH0 I N0 E0 L Y J0 T R U0 P V L0 I T0 I0 T V J0 I J0 O0l G N0 I Nl Y J0 I A K0 I A0 N Y sil
_panic_-20110505-quq/wav/ru_0042,ведь sil ад sil и есть моё безнадёжное одиночество sil распростёртое в вечной тьме sil,sil V0 E0 T0 sil A0 T sil I J0 E0 S0 T0 M A J0 O0 B0 I Z N A D0 O0 ZH N A J0 I A D0 I N O0 TSH0 I S T V A sil R A S P R A S0 T0 O0 R T A J0 I V0l E0 TSH0 N A J0 T0 M0 E0 sil
_panic_-20110505-quq/wav/ru_0043,лось вкратце рассказал ему об условиях перелёта sil предупредил о возможном риске sil,sil L O0 S0 F K R A0 TS Y R A Sl K A Z A0 L J0 I M U0 A B U S L O0 V0 I J0 I KH P0 I R0 I L0 O0 T A sil P R0 I D U P R0 I D0 I0 L A V A Z M O0 ZH N A M R0 I0 S K0 I sil
akaalxcoaakaInterocitor-20100322-dqk/wav/ru_0051,в деревню ехать sil отец с матерью померли sil братья убиты sil земля заброшена sil,sil V D0 I R0 E0 V N0 U J0 E0 KH A T0 sil A T0 E0 TS S M A0 T0 I R0 J0 U P O0 M0 I R L0 I sil B R A0 T0 J0 A U B0 I0 T Y sil Z0 I M L0 A0 Z A B R O0 SH Y N A sil
akaalxcoaakaInterocitor-20100322-dqk/wav/ru_0052,я вам на марсе пригожусь sil ну sil очень рад sil сказал лось sil подавая ему руку sil до завтра sil,sil J0 A0 V A0 M N A M A0 R S0 I P R0 I G A ZH U0 S0 sil N U0 sil O0 TSH0 I N0 R A0 T sil S K A Z A0 Ll O0 S0 sil P A D A V A0 J0 A J0 I M U0 R U0 K U sil D A Z A0 F T R A sil
akaalxcoaakaInterocitor-20100322-dqk/wav/ru_0053,лось показал гусеву механизм движения и важнейшие приборы sil гусев sil оказался ловким sil и сметливым человеком sil,sil L O0 S0 P A K A Z A0 L G U0 S0 I V U M0 I KH A N0 I0 Z M D V0 I ZH E0 N0 I J0 A I V A ZH N0 E0 J0 SH Y J0 I P R0 I B O0 R Y sil G U0 S0 I F sil A K A Z A0 L S0 A L O0 F K0 I M sil I S M0 I T L0 I0 V Y M TSH0 I L A V0 E0 K A M sil
akaalxcoaakaInterocitor-20100322-dqk/wav/ru_0054,он целует её в щёки в лоб sil в закрытые веки sil,sil O0 N TS Y L U0 J0 I T J0 I J0 O0 F SH0 O0 K0 I V L O0 P sil V Z A K R Y0 T Y J0 I V0 E0 K0 I sil
akaalxcoaakaInterocitor-20100322-dqk/wav/ru_0055,потом взошёл на лесенку телескопа sil нашёл искателем марс sil поднявшийся уже над петербургом sil и долго глядел на небольшой sil ясный sil тёплый шарик sil,sil P O0 T A M V Z A SH O0 L N A L0 E0 S0 I N K U T0 I L0 I S K O0 P A sil N A SH O0 L Y S K A0 T0 I L0 I Ml A0 R S sil P A D N0 A0 F SH Y J0 S0 A U0 ZH Y N A T P0 I T0 I R B U0 R G A M sil I D O0 L G A G L0 I D0 E0 L N A N0 I B A L0 SH O0 J0 sil J0 A0 S N Y J0 sil T0 O0 P L Y J0 SH A0 R0 I K sil
akaalxcoaakaInterocitor-20100322-dqk/wav/ru_0056,ах боже мой sil какие могли быть дела важнее катюшиной любви sil,sil A0 GH B O0 ZH Y M O0 J0 sil K A K0 I0 J0 I M A G L0 I0 B Y0 D0l I L A0 V A ZH N0 E0 J0 I K A T0 U0 SH Y N A J0 L0 U B V0 I0 sil
akaalxcoaakaInterocitor-20100322-dqk/wav/ru_0058,осенний ветер над катей sil лежащей в земле sil под крестом sil,sil A S0 E0 N0l I J0 V0 E0 T0 I R N A T K A0 T0 I J0 sil L0 I ZH A0 SH0 I J0 V Z0 I M L0 E0 sil P A T K R0 I S T O0 M sil
akaalxcoaakaInterocitor-20100322-dqk/wav/ru_0059,накинул пальто и зашагал через пустырь на большую монетную улицу sil к себе на квартиру sil где полгода тому назад умерла катя sil,sil N A K0 I0 N U L P A L0 T O0 I Z A SH A G A0 L TSH0 I R0 I S P U S T Y0 R0 N A B O0 L0 SH U J0 U M A N0 E0 T N U J0 U0l L0 I TS U sil K S0 I B0 E0 N A K V A R T0 I0 R U sil G D0 E0 P A L G O0 D A T A M U0 N A Z A0 T U M0 I R L A0 K A0 T0 A sil
akaalxcoaakaInterocitor-20100322-dqk/wav/ru_0060,он открыл дверь в спальню sil где sil после смерти кати sil он никогда не ночевал sil,sil O0 N A T K R Y0 L D V0 E0 R0 F S P A0 L0 N0 U sil G D0 E0 sil P A S L0 E0 S M0 E0 R T0 I K A0 T0 I sil O0 N0l I K A G D A0 N0 I N A TSH0 I V A0 L sil
akaalxcoaakaInterocitor-20100322-dqk/wav/ru_0061,гусев и маша жили в одной комнате sil в когда-то роскошном sil огромном sil теперь заброшенном доме sil,sil G U0 S0 I F Y M A SH A0 ZH Y0 L0 I V A D N O0 J0 K O0 M N A T0 I sil F K A G D A0 T A R A S K O0 SH N A M sil A G R O0 M N A M sil T0 I P0 E0 R0 Z A B R O0 SH Y Nl A M D O0 M0 I sil
akaalxcoaakaInterocitor-20100322-naz/wav/ru_0022,над этой машиной sil он ткнул трубкой в сторону лесов sil работаю давно sil,sil N A D E0 T A J0 M A SH Y0 N A J0 sil O0 N T K N U0 L T R U0 P K A J0 F S T O0 R A N U L0 I S O0 F sil R A B O0 T A J0 U D A V N O0 sil
akaalxcoaakaInterocitor-20100322-naz/wav/ru_0024,в междузвёздном пространстве носятся осколки планет sil нерождённых sil или погибших миров sil,sil V M0 I ZH D U Z V0 O0 Z N A M P R A S T R A0 N S T V0 I N O0 S0 I TS Al S K O0 L K0 I P L A N0 E0 T sil N0 I R A ZH D0 O0 Nl Y KH sil I L0 I P A G0 I0 P SH Y KH M0 I R O0 F sil
akaalxcoaakaInterocitor-20100322-naz/wav/ru_0025,между зубами у них была трава sil они паслись там sil где теперь льды sil,sil M0 E0 ZH D U Z U B A0 M0 I U N0 I0 GH B Y L A0 T R A V A0 sil A N0 I0 P A S L0 I0 S0 T A0 M sil G D0 E0 T0 I P0 E0 R0 L0 D Y0 sil
akaalxcoaakaInterocitor-20100322-naz/wav/ru_0027,мы втянули его и он упал sil разбил земную кору sil отклонил полюсы sil,sil M Y0 F T0 I N U0 L0 I J0 I V O0 I O0 N U P A0 L sil R A Z B0 I0 L Z0 I M N U0 J0 U K A R U0 sil A T K L A N0 I0 L P O0 L0 U S Y sil
akaalxcoaakaInterocitor-20100322-naz/wav/ru_0030,быть может sil от этого именно удара sil погиб материк sil лежавший на запад sil от африки sil в атлантическом океане sil,sil B Y0 T0 M O0 ZH Y T sil A T E0 T A V A I M0 I Nl O0 U D A0 R A sil P A G0 I0 P M A T0 I R0 I0 K sil L0 I ZH A0 F SH Y J0 N A Z A0 P A T sil A T A0 F R0 I K0 I sil V A T L A N0 T0 I0 TSH0 I S K A M A K0 I A0 N0 I sil
akaalxcoaakaInterocitor-20100322-naz/wav/ru_0031,поэтому sil я кладу на весь перелёт в безвоздушном пространстве sil шесть семь часов sil,sil P A E0 T A M U sil J0 A0 K L A D U0 N A V0 E0 S0 P0 I R0 I L0 O0 T V B0 I Z V A Z D U0 SH N A M P R A S T R A0 N S T V0 I sil SH E0 S0 T0 S0 E0 M0 TSH0 I S O0 F sil
akaalxcoaakaInterocitor-20100322-naz/wav/ru_0032,через несколько лет путешествие на марс будет не более сложно sil чем перелёт sil из москвы в берлин sil,sil TSH0 I R0 I Z0 N0 E0 S K A L0 K A L0 E0 T P U T0 I SH E0 S T V0 I J0 I N A M A0 R Z B U0 D0 I T N0 I B O0 L0 I J0 I S L O0 ZH N A sil TSH0 E0 M P0 I R0 I L0 O0 T sil I Z M A S K V Y0 V B0 I R L0 I0 N sil
akaalxcoaakaInterocitor-20100322-naz/wav/ru_0033,на глаз sil скайльс определил sil что яйцеобразный аппарат был не менее восьми с половиной метров высоты sil и шести метров sil в поперечнике sil,sil N A G L A0 S sil S K A0 J0 L0 S A P R0 I D0 I L0 I0 L sil SH T O0 J0 I J0 TS Y A B R A0 Z N Y J0 A Pl A R A0 D B Y0 L N0 I M0 E0 N0 I J0 I V A S0 M0 I0 S P A L A V0 I0 N A J0 M0 E0 T R A F V Y S A T Y0 sil I SH Y S0 T0 I0 M0 E0 T R A F sil F P A P0 I R0 E0 TSH0 N0 I K0 I sil
akaalxcoaakaInterocitor-20100322-naz/wav/ru_0034,его окружала двойная sil массивной стали sil круглая спираль sil свёрнутая в противоположные стороны sil буфер sil,sil J0 I V O0 A K R U ZH A0 L A D V A J0 N A0 J0 A sil M A S0l I0 V N A J0 S T A0 L0 I sil K R U0 G L A J0 A S P0 I R A0 L0 sil S V0 O0 R N U T A J0 A F P R A T0 I V A P A L O0 ZH N Y J0 I S T O0 R A N Y sil B U0 F0 I R sil
akaalxcoaakaInterocitor-20100322-naz/wav/ru_0035,аппарат был построен из мягкой и тугоплавкой стали sil внутри хорошо укреплён рёбрами sil и лёгкими фермами sil,sil A Pl A R A0 D B Y0 L P A S T R O0 J0 I N Y Z M0 A0 KH K A J0 I T U G A P L A0 F K A J0 S T A0 L0 I sil V N U T R0 I0 KH A R A SH O0 U K R0 I P L0 O0 N R0 O0 B R A M0 I sil I L0 O0 KH K0 I M0 I F0 E0 R M A M0 I sil
akaalxcoaakaInterocitor-20100324-hyp/wav/ru_0067,его ярко освещённая внутренность из стёганой ромбами жёлтой кожи sil была видна сквозь круглое отверстие люка sil,sil J0 I V O0 J0 A0 R K Al S V0 I SH0 O0 Nl A J0 A V N U0 T R0 I Nl A S0 T0 I S0l T0 O0 G A N A J0 R O0 M B A M0 I ZH O0 L T A J0 K O0 ZH Y sil B Y L A0 V0 I0 D N A S K V O0 S0 K R U0 G L A J0 I A T V0 E0 R S0 T0 I J0 I L0 U0 K A sil
akaalxcoaakaInterocitor-20100324-hyp/wav/ru_0068,недолго ждать sil когда пошатнётся даже разум sil единственные цепи на этом чудовище sil,sil N0 I D O0 L G A ZH D A0 T0 sil K A G D A0 P A SH A T N0 O0 TS A D A0 ZH Y R A0 Z U M sil J0 I D0 I0 N S T V0 I Nl Y J0 I TS E0 P0 I N A E0 T A M TSH0 U D O0 V0 I SH0 I sil
akaalxcoaakaInterocitor-20100324-hyp/wav/ru_0069,в молчании теперь тысячи людей глядели на квадратные sil освещённые окна сарая sil,sil V M A L TSH0 A0 N0 Il T0 I P0 E0 R0 T Y0 S0 I TSH0 I L0 U D0 E0 J0 G L0 I D0 E0 L0 I N A K V A D R A0 T N Y J0 I sil A S V0 I SH0 O0 Nl Y J0 I O0 K N A S A R A0 J0 A sil
akaalxcoaakaInterocitor-20100324-hyp/wav/ru_0070,электричество было потушено sil и бледный свет проникал сквозь стёкла глазков sil,sil Y L0 I K T R0 I0 TSH0 I S T V A B Y0 L A P A T U0 SH Y N A sil I B L0 E0 D N Y J0 S V0 E0 T P R A N0 I K A0 L S K V O0 S0l T0 O0 K L A G L A S K O0 F sil
akaalxcoaakaInterocitor-20100324-hyp/wav/ru_0071,лось чувствовал sil сердце бьётся чаще sil чаще sil уже не бьётся sil трепещет мучительно sil,sil L O0 S0 TSH0 U0 F S T V A V A L sil S0 E0 R TS Y B0 J0 O0 TS A TSH0 A0 SH0 I sil TSH0 A0 SH0 I sil U0 ZH Y N0 I B0 J0 O0 TS A sil T R0 I P0 E0 SH0 I T M U TSH0 I0 T0 I L0 N A sil
akaalxcoaakaInterocitor-20100324-hyp/wav/ru_0073,в один sil из глазков sil входил прямой sil ослепительный луч солнца sil,sil V A D0 I0 N sil I Z G L A S K O0 F sil F KH A D0 I0 L P R0 I M O0 J0 sil A S L0 I P0 I0 T0 I L0 N Y J0 L U0 TSH0 S O0 N TS A sil
akaalxcoaakaInterocitor-20100324-hyp/wav/ru_0074,лось с трудом оторвался от этого зрелища sil живоносного огня вселенной sil,sil L O0 Sl T R U D O0 M A T A R V A0 L S0 Al T E0 T A V A Z R0 E0 L0 I SH0 A sil ZH Y V A N O0 S N A V Al G N0 A0 F S0 I L0 E0 Nl A J0 sil
akaalxcoaakaInterocitor-20100324-hyp/wav/ru_0075,теперь уже ясно можно было видеть резкие длинные тени от скал sil они тянулись через оголённую ледяную равнину sil,sil T0 I P0 E0 R0 U0 ZH Y J0 A0 S N A M O0 ZH N A B Y0 L A V0 I0 D0 I T0 R0 E0 S K0 I J0 I D L0 I0 Nl Y J0 I T0 E0 N0 I A TS K A0 L sil A N0 I0 T0 I N U0 L0 I S0 TSH0 I R0 I Z A G A L0 O0 Nl U J0 U L0 I D0 I N U0 J0 U R A V N0 I0 N U sil
akaalxcoaakaInterocitor-20100324-hyp/wav/ru_0076,несколько линий sil точек и полукружий разбросано к западу и востоку от этой sil экваториальной группы sil,sil N0 E0 S K A L0 K A L0 I0 N0 I J0 sil T O0 TSH0 I K Y P A L U K R U0 ZH Y J0 R A Z B R O0 S A N A G Z A0 P A D U I V A S T O0 K U A T E0 T A J0 sil Y K V A T A R0 I A0 L0 N A J0 G R U0 Pl Y sil
akaalxcoaakaInterocitor-20100324-hyp/wav/ru_0077,лось жадно вглядывался в эту сеть линий sil вот они sil сводящие с ума астрономов sil постоянно меняющиеся sil геометрически правильные sil непостигаемые каналы марса sil,sil L O0 Z0 ZH A0 D N A V G L0 A0 D Y V A L S0 A V E0 T U S0 E0 T0 L0 I0 N0 I J0 sil V O0 T A N0 I0 sil S V A D0 A0 SH0 I J0 I S U M Al S T R A N O0 M A F sil P A S T A J0 A0 Nl A M0 I N0 A0 J0 U SH0 I J0 I S0 A sil G0 I A M0 I T R0 I0 TSH0 I S K0 I P R A0 V0 I L0 N Y J0 I sil N0 I P A S0 T0 I G A0 J0 I M Y J0 I K A N A0 L Y M A0 R S A sil
alenyashka-20110505-nrc/wav/ru_0011,мальчик sil ворона sil пустые дома sil пустынные улицы sil странные взгляды прохожих sil и приколоченное гвоздиками объявление sil кто-то зовёт лететь из этого города sil в звёздную пустыню sil,sil M A0 L0 TSH0 I K sil V A R O0 N A sil P U S T Y0 J0 I D A M A0 sil P U S T Y0 Nl Y J0 I U0 L0 I TS Y sil S T R A0 Nl Y J0 I V Z G L0 A0 D Y P R A KH O0 ZH Y KH sil I P R0 I K A L O0 TSH0 I Nl A J0 I G V O0 Z0 D0 I K A M0 I A B J0 I V L0 E0 N0 I J0 I sil K T O0 T A Z A V0 O0 T L0 I T0 E0 T0 I Z E0 T A V A G O0 R A D A sil V Z V0 O0 Z N U J0 U P U S T Y0 N0 U sil
alenyashka-20110505-nrc/wav/ru_0012,развернул план петербурга sil и водя по нему концом трубки sil отыскал ждановскую набережную sil,sil R A Z V0 I R N U0 L P L A0 N P0 I T0 I R B U0 R G A sil I V A D0 A0 P A N0 I M U0 K A N TS O0 M T R U0 P K0 I sil A T Y S K A0 L ZH D A0 N A F S K U J0 U N A0 B0 I R0 I ZH N U J0 U sil
alenyashka-20110505-nrc/wav/ru_0013,небольшая дверца в нём была приотворена sil на пороге сидел на корточках рабочий sil и размешивал в ведёрке кирпично-красный сурик sil,sil N0 I B A L0 SH A0 J0 A D V0 E0 R TS A V N0 O0 M B Y L A0 P R0 I A T V O0 R0 I N A sil N A P A R O0 G0 I S0 I D0 E0 L N A K O0 R T A TSH0 K A KH R A B O0 TSH0 I J0 sil I R A Z M0 E0 SH Y V A L V0l I D0 O0 R K0 I K0 I R P0 I0 TSH0 N A K R A0 S N Y J0 S U0 R0 I K sil
alenyashka-20110505-nrc/wav/ru_0015,сарай едва был освещён sil над столом заваленном чертежами и книгами sil горела электрическая лампочка sil в жестяном конусе sil,sil S A R A0 J0l I D V A0 B Y0 L A S V0 I SH0 O0 N sil N A TS T A L O0 M Z A V A0 L0 I Nl A M TSH0 I R T0 I ZH A0 M0 Il K N0 I0 G A M0 I sil G A R0 E0 L A Y L0 I K T R0 I0 TSH0 I S K A J0 A L A0 M P A TSH0 K A sil V ZH Y S0 T0 I N O0 M K O0 N U S0 I sil
